"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","FAKE","15","0","[GRPC] Paintings tests","0"
"4","","3","WEB","14","0","[WEB] Museums tests","0"
"2","","0","WEB","19","0","[WEB] Artists tests","0"
"0","","0","FAKE","20","0","[DB] Paintings tests","0"
"2","","6","WEB","13","0","[WEB] Paintings tests","0"
"0","","0","WEB","15","0","[WEB] Registration tests","0"
"0","","0","API","10","0","[API] Registration tests","0"
"0","","0","FAKE","9","0","[GRPC] Users tests","0"
"0","","0","FAKE","12","0","[DB] Museums tests","0"
"0","","1","API","14","0","[API] Paintings tests","0"
"0","","0","FAKE","10","0","[DB] Artists tests","0"
"0","","0","FAKE","5","0","[GRPC] Countries tests","0"
"0","","0","FAKE","10","0","[GRPC] Artists tests","0"
"0","","0","API","13","0","[API] Museums tests","0"
"0","","0","API","5","0","[API] Users tests","0"
"0","","0","FAKE","12","0","[GRPC] Museums tests","0"
"0","","0","API","10","0","[API] Artists tests","0"
"0","","0","FAKE","10","0","[DB] Users tests","0"
"0","","0","API","6","0","[API] Countries tests","0"
"0","","0","WEB","4","0","[WEB] Login tests","0"
"0","","0","FAKE","1","0","[Kafka] Users tests","0"
"0","","0","API","2","0","[API] Login tests","0"
